image_id,label
0.jpeg,0
1.jpg,0
2.jpeg,0
4.jpg,0
5.jpg,0
6.png,0
7.jpg,0
9.jpg,0
11.jpg,0
12.jpg,0
13.jpg,0
14.jpg,0
15.jpg,0
16.jpg,0
20.jpg,0
21.jpg,0
22.jpg,0
23.jpg,0
24.jpg,0
25.jpg,0
26.jpg,0
27.jpg,0
28.jpg,0
29.jpg,0
30.jpg,0
31.jpg,0
32.jpg,0
33.jpg,0
35.jpg,0
36.jpg,0
37.jpg,0
38.jpg,0
39.jpg,0
41.jpg,0
42.jpg,0
43.jpg,0
44.jpg,0
46.jpg,0
47.jpg,0
48.jpg,0
49.jpg,0
50.jpeg,0
51.jpg,0
53.jpg,0
54.jpg,0
55.jpg,0
56.jpg,0
57.jpg,0
58.jpg,0
59.jpg,0
60.jpg,0
61.jpg,0
63.jpg,0
64.jpg,0
65.jpg,0
66.jpg,0
68.jpg,0
69.jpg,0
72.jpeg,0
75.jpg,0
76.jpg,0
77.jpg,0
78.jpg,0
80.jpg,0
81.jpg,0
82.jpg,0
83.jpg,0
85.jpg,0
86.jpg,0
87.jpg,0
90.jpg,0
91.jpg,0
92.jpg,0
95.jpg,0
96.png,0
98.jpeg,0
99.jpg,0
100.jpeg,0
101.jpg,0
102.jpeg,0
103.jpg,0
104.jpg,0
105.jpg,0
107.jpeg,0
108.jpg,0
109.jpg,0
111.jpg,0
112.jpg,0
113.jpg,0
114.jpg,0
115.jpg,0
116.jpg,0
117.jpg,0
119.jpg,0
121.jpg,0
123.jpg,0
124.jpg,0
125.jpg,0
126.jpg,0
128.jpg,0
129.jpg,0
130.jpg,0
131.jpg,0
132.jpg,0
133.jpg,0
137.jpg,0
138.jpg,0
140.jpg,0
141.jpg,0
142.jpeg,0
143.jpg,0
144.jpeg,0
145.jpg,0
146.jpg,0
147.jpg,0
149.jpg,0
150.jpg,0
151.jpg,0
152.jpg,0
153.jpg,0
154.jpg,0
155.jpg,0
156.jpg,0
157.jpg,0
158.jpg,0
159.jpg,0
160.jpg,0
163.jpg,0
164.jpeg,0
165.jpeg,0
166.jpg,0
167.jpeg,0
168.jpg,0
169.jpg,0
170.jpg,0
171.jpg,0
172.jpg,0
173.jpeg,0
174.jpg,0
175.jpg,0
176.jpg,0
177.jpg,0
178.jpg,0
179.jpg,0
180.jpg,0
181.jpg,0
182.jpg,0
183.jpg,0
184.jpg,0
185.jpg,0
186.jpg,0
187.jpg,0
188.jpg,0
190.jpg,0
191.jpg,0
192.jpg,0
193.jpg,0
194.jpg,0
196.jpg,0
197.jpg,0
199.jpg,0
200.jpg,0
202.jpg,0
203.jpg,0
204.jpg,0
205.jpg,0
206.jpg,0
207.jpg,0
208.jpg,0
209.jpg,0
210.jpg,0
211.jpg,0
213.jpg,0
214.jpg,0
215.jpg,0
216.jpg,0
218.jpg,0
219.jpg,0
220.jpg,0
221.jpg,0
222.jpg,0
223.jpg,0
224.jpg,0
225.jpg,0
226.jpg,0
227.jpeg,0
228.jpg,0
230.jpg,0
231.jpeg,0
232.jpg,0
233.jpg,0
234.jpg,0
235.jpg,0
236.jpg,0
238.jpg,0
240.jpg,0
241.jpg,0
243.jpg,0
244.jpg,0
245.jpg,0
246.jpg,0
247.jpg,0
248.jpg,0
249.jpg,0
251.jpg,0
252.jpg,0
253.jpg,0
254.jpg,0
255.jpg,0
256.jpg,0
257.jpg,0
258.jpg,0
259.jpg,0
260.jpg,0
261.jpg,0
262.jpg,0
263.jpg,0
264.jpg,0
266.jpg,0
267.jpg,0
268.jpg,0
269.jpg,0
270.jpg,0
271.jpg,0
273.jpg,0
